LOCATION_ID;Score_A;Risk_A;Score_B;Risk_B;TOTAL;Money_Value
43;0.2;0;0.2;0;0;0
32;0.2;0.058;0.2;0.078;0.68;0.05
9;0.2;0;0.4;0.784;1.96;0.4
6;0.6;1.344;0.6;4.356;9.5;0.24
6;0.2;0.124;0.2;0.084;1.04;0
8;0.4;0.68;0.6;3.546;7.61;3.68
8;0.2;0.19;0.2;0.144;1.67;0
2;0.2;0;0.2;0;0;85.05
2;0.6;1.554;0.6;67.14;114.49;8.47
2;0.6;3.888;0.6;25.848;49.56;253.12
4;0.4;0.48;0.2;0.108;1.74;0.45
4;0.2;0.052;0.2;0.042;0.47;0.05
5;0.2;0.14;0.2;0.038;0.89;0
5;0.4;0.636;0.2;0.026;1.72;0.11
19;0.2;0;0.2;0;0;0.02
19;0.6;1.884;0.6;2.982;8.11;6.41
20;0.2;0.136;0.4;0.588;2.15;0
9;0.2;0.134;0.4;0.684;2.38;0
9;0.6;1.524;0.6;3.312;8.06;0.49
11;0.4;0.736;0.6;2.55;6.09;0.82
8;0.2;0;0.2;0;0;0
12;0.6;1.86;0.6;2.796;7.76;0.59
12;0.2;0.158;0.2;0.092;1.25;0.28
12;0.2;0.076;0.2;0.018;0.47;0
8;0.6;1.446;0.6;2.814;7.1;0.25
8;0.2;0;0.2;0;0;0
29;0.4;0.504;0.4;0.632;2.84;6.5
29;0.2;0.12;0.2;0.092;1.06;0
2;0.4;0.496;0.6;1.362;3.51;0
1;0.2;0;0.2;0;0;0
44;0.2;0.00012;0.4;0.444;11.106;0
9;0.4;0.596;0.6;1.404;3.83;0.25
32;0.4;0.508;0.6;1.2;3.27;0.18
16;0.6;1.452;0.6;2.118;5.95;6.31
15;0.2;0.138;0.2;0.162;1.5;0
15;0.4;0.74;0.6;2.496;6.01;0.51
15;0.4;0.74;0.6;2.496;6.01;1.65
13;0.6;1.47;0.6;3.282;7.92;5.61
13;0.2;0.108;0.2;0.134;1.21;0
22;0.2;0;0.2;0;0;0
18;0.4;0.58;0.6;3.474;7.24;0.69
6;0.2;0.168;0.2;0;0.84;0
6;0.2;0;0.2;0;0;0
6;0.2;0.022;0.2;0;0.11;0
16;0.2;0.098;0.2;0;0.49;0
6;0.2;0.082;0.2;0;0.41;0
25;0.2;0.112;0.2;0;0.56;0
6;0.2;0.174;0.2;0;0.87;0.1
25;0.2;0.1;0.2;0;0.5;0
6;0.2;0;0.2;0;0;0.02
6;0.2;0.076;0.2;0.098;0.87;0
6;0.2;0;0.2;0.006;0.03;0
37;0.2;0.034;0.2;0;0.17;0
8;0.2;0.168;0.2;0;0.84;0
37;0.2;0.098;0.6;2.868;5.27;0
8;0.2;0.134;0.2;0.082;1.08;0.99
8;0.2;0.09;0.6;4.962;8.72;9.43
8;0.2;0;0.2;0;0;0
8;0.2;0.136;0.2;0;0.68;0
8;0.2;0.198;0.2;0;0.99;0
8;0.2;0.058;0.2;0;0.29;0
8;0.4;0.668;0.2;0;1.67;0.06
8;0.4;0.42;0.6;1.302;3.22;0
2;0.2;0.148;0.2;0;0.74;0
2;0.2;0;0.2;0;0;0
4;0.2;0.102;0.4;0.544;1.87;0
4;0.2;0.148;0.2;0;0.74;0.15
4;0.2;0.046;0.2;0;0.23;
4;0.2;0;0.4;0.52;1.3;0
4;0.2;0.098;0.2;0;0.49;0
4;0.2;0.146;0.2;0;0.73;0
4;0.2;0.056;0.2;0.05;0.53;0
4;0.2;0.064;0.2;0;0.32;0
14;0.2;0.042;0.2;0;0.21;0
14;0.4;0.652;0.2;0;1.63;0
36;0.2;0.16;0.2;0;0.8;0
5;0.2;0;0.2;0;0;0
43;0.2;0.166;0.2;0;0.83;0
5;0.2;0.114;0.4;0.504;1.83;0.1
5;0.2;0.142;0.2;0;0.71;0
5;0.2;0.03;0.2;0;0.15;0
5;0.4;0.504;0.2;0;1.26;0
5;0.2;0;0.2;0;0;0.01
43;0.2;0;0.2;0;0;0
5;0.2;0;0.2;0;0;0
5;0.2;0.018;0.2;0;0.09;0
5;0.2;0.102;0.2;0.006;0.54;0
5;0.2;0.098;0.2;0;0.49;0.02
19;0.4;0.44;0.2;0;1.1;0
8;0.4;0.456;0.2;0;1.14;0
19;0.2;0;0.2;0;0;0
19;0.6;1.38;0.2;0;2.3;0
19;0.4;0.64;0.2;0.098;2.09;88.34
19;0.4;0.596;0.2;0;1.49;0
19;0.2;0.048;0.2;0;0.24;0
19;0.2;0.084;0.2;0;0.42;0
19;0.4;0.428;0.2;0.032;1.23;0
22;0.4;0.556;0.2;0;1.39;0
22;0.2;0.014;0.2;0;0.07;0
9;0.2;0.098;0.2;0.08;0.89;0
9;0.2;0.176;0.2;0.108;1.42;0.11
19;0.2;0;0.4;0.696;1.74;0
9;0.4;0.512;0.2;0;1.28;0.22
9;0.2;0;0.2;0;0;0
9;0.2;0;0.2;0;0;0
9;0.2;0.042;0.2;0;0.21;0
9;0.2;0.184;0.2;0;0.92;0
9;0.2;0.034;0.2;0;0.17;0
9;0.2;0.052;0.2;0.00042;0.2621;0
9;0.2;0.156;0.2;0;0.78;0
11;0.2;0.196;0.2;0;0.98;0
11;0.2;0.054;0.2;0.00034;0.2717;0
11;0.2;0.082;0.2;0.022;0.52;0
11;0.2;0.148;0.2;0;0.74;0.71
11;0.2;0.164;0.6;1.752;3.74;0
12;0.2;0;0.6;7.008;11.68;0
12;0.2;0.122;0.2;0;0.61;0
12;0.2;0.124;0.2;0.094;1.09;0.58
12;0.2;0;0.2;0;0;3.57
12;0.2;0;0.2;0;0;0
12;0.2;0;0.2;0;0;0
12;0.2;0;0.2;0;0;0
12;0.4;0.432;0.2;0;1.08;0
12;0.2;0.14;0.2;0;0.7;0
8;0.4;0.544;0.2;0;1.36;0
8;0.2;0;0.6;3.144;5.24;0
8;0.2;0.064;0.2;0.034;0.49;0
8;0.2;0.066;0.2;0.00026;0.3313;0
8;0.4;0.432;0.2;0.184;2;0.04
8;0.2;0;0.2;0;0;0
8;0.2;0.12;0.2;0;0.6;0
27;0.2;0.152;0.2;0;0.76;0
27;0.2;0;0.6;1.794;2.99;0.06
29;0.2;0;0.2;0;0;0
29;0.2;0.098;0.2;0.056;0.77;0.07
29;0.2;0;0.2;0.162;0.81;0
29;0.2;0.082;0.2;0;0.41;0
27;0.2;0;0.2;0;0;0
29;0.2;0.164;0.2;0;0.82;0
29;0.2;0.064;0.2;0.00018;0.3209;0
27;0.2;0;0.2;0;0;0
2;0.2;0;0.2;0;0;0
2;0.4;0.424;0.2;0.126;1.69;0.9
28;0.2;0;0.2;0;0;0
28;0.2;0;0.2;0;0;0.13
17;0.2;0;0.2;0;0;0
9;0.2;0.102;0.4;0.652;2.14;1.8
9;0.4;0.424;0.2;0;1.06;0
9;0.2;0.142;0.2;0.05;0.96;0
32;0.2;0;0.6;5.094;8.49;0.43
32;0.4;0.64;0.2;0;1.6;0
32;0.2;0.06;0.2;0.00046;0.3023;0
16;0.2;0.094;0.2;0.092;0.93;0.42
16;0.2;0;0.2;0;0;0.02
16;0.4;0.476;0.2;0;1.19;0
16;0.2;0;0.4;0.516;1.29;0
16;0.2;0.14;0.2;0.158;1.49;1.91
22;0.2;0.166;0.2;0;0.83;0.14
16;0.2;0.148;0.2;0;0.74;2.4
16;0.2;0.04;0.2;0;0.2;0
15;0.4;0.56;0.2;0.012;1.46;0
15;0.2;0.08;0.2;0.0005;0.4025;0
15;0.2;0.17;0.4;0.4;1.85;0.4
15;0.2;0;0.2;0.176;0.88;0.07
15;0.2;0;0.2;0;0;0
15;0.4;0.448;0.2;0;1.12;0
15;0.4;0.512;0.2;0;1.28;0
15;0.2;0;0.2;0;0;0
13;0.2;0;0.4;0.464;1.16;0
13;0.2;0.02;0.2;0;0.1;0
13;0.4;0.424;0.4;0.64;2.66;16.09
13;0.2;0.05;0.2;0.00034;0.2517;0
13;0.2;0.062;0.2;0.0003;0.3115;0
13;0.2;0;0.2;0;0;0
13;0.2;0.168;0.2;0;0.84;0
13;0.4;0.436;0.2;0;1.09;0
13;0.4;0.516;0.2;0;1.29;0
13;0.2;0.102;0.2;0.074;0.88;0
21;0.2;0.018;0.2;0;0.09;0
18;0.2;0.078;0.2;0.182;1.3;0
21;0.4;0.428;0.2;0;1.07;0
25;0.2;0;0.2;0;0;0
32;0.2;0.1;0.6;1.782;3.47;0.18
22;0.2;0.098;0.2;0.11;1.04;0
14;0.2;0.168;0.2;0.13;1.49;0
12;0.2;0.18;0.4;0.444;2.01;0
12;0.2;0;0.2;0;0;0
14;0.2;0.118;0.2;0;0.59;0
36;0.2;0.004;0.2;0;0.02;0
14;0.4;0.592;0.6;2.688;5.96;0
22;0.2;0;0.6;1.98;3.3;0
8;0.2;0.16;0.2;0.114;1.37;0
18;0.2;0.072;0.2;0.108;0.9;0.21
9;0.2;0.088;0.2;0.106;0.97;0
16;0.2;0.102;0.2;0.1;1.01;0.09
18;0.2;0.15;0.2;0.09;1.2;0
9;0.2;0.098;0.2;0.08;0.89;0
16;0.2;0.094;0.2;0.074;0.84;0
14;0.2;0.048;0.2;0.008;0.28;0
18;0.2;0.04;0.2;0;0.2;0
15;0.2;0;0.2;0;0;0.32
